Date,Open,High,Low,Close,Volume
2022-06-22 00:00:00-04:00,367.417,375.447,366.98,371.154,90059400
2022-06-23 00:00:00-04:00,373.385,375.556,369.667,374.792,79292100
2022-06-24 00:00:00-04:00,378.103,386.718,378.074,386.708,98050300
2022-06-27 00:00:00-04:00,387.67,387.977,384.091,385.231,66009600
2022-06-28 00:00:00-04:00,386.857,389.762,377.241,377.36,86548900
2022-06-29 00:00:00-04:00,377.935,378.966,375.149,377.053,65676000
2022-06-30 00:00:00-04:00,372.988,377.37,369.34,373.989,112508300
2022-07-01 00:00:00-04:00,373.305,378.401,370.569,377.945,74839700
2022-07-05 00:00:00-04:00,372.631,378.678,369.677,378.659,81438000
2022-07-06 00:00:00-04:00,378.807,382.535,376.319,379.937,70426200
2022-07-07 00:00:00-04:00,381.791,386.461,379.957,385.628,64525900
2022-07-08 00:00:00-04:00,383.923,387.264,382.327,385.311,72397800
2022-07-11 00:00:00-04:00,382.515,383.526,380.185,380.909,58366900
2022-07-12 00:00:00-04:00,380.334,382.822,375.714,377.538,62219200
2022-07-13 00:00:00-04:00,371.858,378.619,371.422,375.556,84224600
2022-07-14 00:00:00-04:00,370.381,375.774,367.833,374.644,89704800
2022-07-15 00:00:00-04:00,379.243,381.92,377.251,381.801,79060400
2022-07-18 00:00:00-04:00,385.023,385.727,377.37,378.649,63203600
2022-07-19 00:00:00-04:00,382.743,389.474,382.059,388.879,78506000
2022-07-20 00:00:00-04:00,389.078,392.835,387.65,391.358,71843800
2022-07-21 00:00:00-04:00,390.753,395.393,388.245,395.343,64903900
2022-07-22 00:00:00-04:00,395.472,396.721,389.355,391.675,72197300
2022-07-25 00:00:00-04:00,392.329,393.043,389.811,392.151,53631500
2022-07-26 00:00:00-04:00,390.436,390.654,386.58,387.511,52946400
2022-07-27 00:00:00-04:00,390.951,399.398,390.644,397.574,82342100
2022-07-28 00:00:00-04:00,398.416,403.284,394.709,402.56,73966600
2022-07-29 00:00:00-04:00,404.057,409.46,403.254,408.429,87003700
2022-08-01 00:00:00-04:00,405.614,409.837,404.87,407.22,69997500
2022-08-02 00:00:00-04:00,405.584,409.43,403.304,404.533,63435400
2022-08-03 00:00:00-04:00,406.754,412.087,406.456,410.868,67820600
2022-08-04 00:00:00-04:00,410.788,411.502,408.875,410.59,45656600
2022-08-05 00:00:00-04:00,406.119,410.57,406.06,409.896,56814900
2022-08-08 00:00:00-04:00,411.661,414.01,408.27,409.42,53886100
2022-08-09 00:00:00-04:00,408.657,409.182,406.674,407.795,44931800
2022-08-10 00:00:00-04:00,415.16,416.509,413.118,416.36,68665700
2022-08-11 00:00:00-04:00,419.334,421.277,415.587,416.36,59489700
2022-08-12 00:00:00-04:00,418.382,423.517,417.391,423.408,61694500
2022-08-15 00:00:00-04:00,421.099,425.698,421.039,425.153,54048300
2022-08-16 00:00:00-04:00,424.033,427.998,423.19,425.986,59289000
2022-08-17 00:00:00-04:00,422.229,425.788,420.871,422.962,63563400
2022-08-18 00:00:00-04:00,423.17,424.905,421.822,424.192,49023200
2022-08-19 00:00:00-04:00,421.307,421.584,417.579,418.491,68016900
2022-08-22 00:00:00-04:00,413.445,413.624,408.835,409.777,77695600
2022-08-23 00:00:00-04:00,409.331,411.829,408.211,408.786,49105200
2022-08-24 00:00:00-04:00,408.548,411.522,407.834,410.095,49177800
2022-08-25 00:00:00-04:00,411.651,415.934,410.511,415.884,50942300
2022-08-26 00:00:00-04:00,415.765,416.33,401.747,401.807,103087000
2022-08-29 00:00:00-04:00,398.724,402.332,397.732,399.15,65370800
2022-08-30 00:00:00-04:00,400.359,400.607,392.577,394.768,85652400
2022-08-31 00:00:00-04:00,396.473,397.772,391.626,391.764,76029700
2022-09-01 00:00:00-04:00,389.494,393.35,386.669,392.994,78740100
2022-09-02 00:00:00-04:00,396.82,398.089,386.956,388.85,99632100
2022-09-06 00:00:00-04:00,389.732,390.713,385.063,387.383,76637400
2022-09-07 00:00:00-04:00,387.055,395.145,386.827,394.342,70964200
2022-09-08 00:00:00-04:00,391.973,397.395,390.713,396.919,80821700
2022-09-09 00:00:00-04:00,399.259,403.988,398.981,403.086,76706900
2022-09-12 00:00:00-04:00,405.247,408.171,404.93,407.418,69256300
2022-09-13 00:00:00-04:00,398.357,399.616,388.533,389.702,122947100
2022-09-14 00:00:00-04:00,391.06,392.776,387.739,391.189,85023700
2022-09-15 00:00:00-04:00,389.564,392.538,385.42,386.748,87633800
2022-09-16 00:00:00-04:00,382.384,384.484,380.363,383.798,103084800
2022-09-19 00:00:00-04:00,380.513,386.774,380.433,386.774,73278500
2022-09-20 00:00:00-04:00,383.3,384.355,379.458,382.334,77274900
2022-09-21 00:00:00-04:00,384.345,387.53,375.655,375.665,106746600
